Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município**,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,Entidade Beneficiente de Assistência Social (CEBAS)
2021,2501,ARTES VISUAIS ,Licenciatura,600,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,1103310,Educação Presencial,2111300,São Luís,MA,11,10,"32,63","1,831","42,54","1,511","1,591",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,610,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO,UNINASSAU,Centro Universitário,Privada com fins lucrativos,14768,Educação Presencial,3304557,Rio de Janeiro,RJ,16,12,"38,816","2,741","55,916","3,194","3,08",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,634,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Universidade,Pública Federal,31978,Educação Presencial,4314407,Pelotas,RS,44,41,"34,821","2,153","51,507","2,639","2,517",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,665,UNIVERSIDADE DE TAUBATÉ,UNITAU,Universidade,Pública Municipal,1152588,Educação a Distância,3554102,Taubaté,SP,21,15,"38,106","2,637","48,973","2,32","2,399",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,665,UNIVERSIDADE DE TAUBATÉ,UNITAU,Universidade,Pública Municipal,1321343,Educação a Distância,3554102,Taubaté,SP,12,8,"41,35","3,114","68,05","4,72","4,318",5,,-
2021,2501,ARTES VISUAIS ,Licenciatura,671,UNIVERSIDADE ANHANGUERA,UNIDERP,Universidade,Privada com fins lucrativos,1404178,Educação a Distância,5002704,Campo Grande,MS,12,10,"29,07","1,307","37,9","0,927","1,022",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Universidade,Pública Federal,36348,Educação Presencial,5002704,Campo Grande,MS,18,17,"45,37","3,706","60,782","3,806","3,781",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Universidade,Pública Federal,123567,Educação Presencial,1100205,Porto Velho,RO,9,8,"20,687","0,073","42,887","1,555","1,184",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,719,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Universidade,Pública Estadual,1404229,Educação a Distância,5102504,Cáceres,MT,21,18,"34,927","2,169","43,066","1,577","1,725",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,730,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Universidade,Pública Estadual,63886,Educação Presencial,4119905,Ponta Grossa,PR,27,18,"41,505","3,137","59,688","3,668","3,535",4,,-
