Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa**,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Total Concluinte Acima do Padrão,Percentual Concluintes Acima do Padrão,Conceito Enade (Faixa),CEBAS
2025,12,MEDICINA,Bacharelado,403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Universidade,Comunitária/Confessional,48854,Educação Presencial,5300108,Brasília,DF,98,98,77,"0,786",4,SIM
2025,12,MEDICINA,Bacharelado,669,UNIVERSIDADE NILTON LINS,UNINILTONLINS,Universidade,Privada sem fins lucrativos,49060,Educação Presencial,1302603,Manaus,AM,142,141,55,"0,39",1,NÃO
2025,12,MEDICINA,Bacharelado,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Universidade,Pública Estadual,49910,Educação Presencial,2913606,Ilhéus,BA,39,39,36,"0,923",5,NÃO
2025,12,MEDICINA,Bacharelado,699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Universidade,Pública Federal,51699,Educação Presencial,1100205,Porto Velho,RO,23,23,19,"0,826",4,NÃO
2025,12,MEDICINA,Bacharelado,5439,CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,UNICEPLAC,Centro Universitário,Privada com fins lucrativos,51835,Educação Presencial,5300108,Brasília,DF,153,153,92,"0,601",3,NÃO
2025,12,MEDICINA,Bacharelado,549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Universidade,Pública Federal,53338,Educação Presencial,1200401,Rio Branco,AC,41,41,36,"0,878",4,NÃO
2025,12,MEDICINA,Bacharelado,583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Universidade,Pública Federal,54490,Educação Presencial,2312908,Sobral,CE,72,72,60,"0,833",4,NÃO
2025,12,MEDICINA,Bacharelado,18759,UNIVERSIDADE FEDERAL DO CARIRI,UFCA,Universidade,Pública Federal,54494,Educação Presencial,2301901,Barbalha,CE,79,78,67,"0,859",4,NÃO
2025,12,MEDICINA,Bacharelado,417,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Universidade,Privada com fins lucrativos,57402,Educação Presencial,3550308,São Paulo,SP,242,240,139,"0,579",2,NÃO
2025,12,MEDICINA,Bacharelado,750,UNIVERSIDADE DE GURUPI,UnirG,Universidade,Especial,57852,Educação Presencial,1709500,Gurupi,TO,115,115,66,"0,574",2,NÃO
2025,12,MEDICINA,Bacharelado,27103,UNIVERSIDADE DO DISTRITO FEDERAL,UnDF,Universidade,Pública Estadual,58412,Educação Presencial,5300108,Brasília,DF,78,78,75,"0,962",5,NÃO
2025,12,MEDICINA,Bacharelado,823,UNIVERSIDADE CEUMA,UNICEUMA,Universidade,Privada sem fins lucrativos,59174,Educação Presencial,2111300,São Luís,MA,180,178,92,"0,517",2,NÃO
2025,12,MEDICINA,Bacharelado,1042,UNIVERSIDADE POSITIVO,UP,Universidade,Privada com fins lucrativos,59414,Educação Presencial,4106902,Curitiba,PR,165,163,149,"0,914",5,NÃO
2025,12,MEDICINA,Bacharelado,3172,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,Universidade,Pública Estadual,60660,Educação Presencial,1302603,Manaus,AM,113,113,75,"0,664",3,NÃO
