 Ano, Código da IES, Nome da IES, Sigla da IES, Organização Acadêmica, Categoria Administrativa, Código do Curso, Código da Área, Área de Avaliação, Modalidade de Ensino, Código do Município, Município do Curso, Sigla da UF, Nº de Concluintes Inscritos, Nº de Concluintes Participantes, Nota Bruta - FG, Nota Padronizada - FG, Nota Bruta - CE, Nota Padronizada - CE, Conceito Enade (Contínuo), Concluintes participantes com nota no Enem, Proporção de concluintes participantes com nota no Enem, Nota Bruta - IDD, Nota Padronizada - IDD, Nota Bruta – Organização Didático-Pedagógica, Nota Padronizada - Organização Didático-Pedagógica, Nota Bruta – Infraestrutura e Instalações Físicas, Nota Padronizada - Infraestrutura e Instalações Físicas, Nota Bruta – Oportunidade de Ampliação da Formação, Nota Padronizada - Oportunidade de Ampliação da Formação, Nota Bruta - Mestres, Nota Padronizada - Mestres, Nota Bruta - Doutores, Nota Padronizada - Doutores, Nota Bruta – Regime de Trabalho, Nota Padronizada - Regime de Trabalho, CPC (Contínuo), CPC (Faixa),Entidade Beneficiente de Assistência Social (CEBAS)
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1486720,19,FARMÁCIA,Educação Presencial,3304557,Rio de Janeiro,RJ,1,0,,,,,,0,,,,,,,,,,1,5,"0,2",1,"0,8","3,667",,SC,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1486721,36,FISIOTERAPIA,Educação Presencial,3304557,Rio de Janeiro,RJ,1,1,,,,,,1,1,,,,,,,,,1,5,"0,666666666666667","3,333","0,333333333333333","0,333",,SC,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1486722,36,FISIOTERAPIA,Educação Presencial,3304557,Rio de Janeiro,RJ,1,0,,,,,,0,,,,,,,,,,"0,857142857142857","3,714","0,285714285714286","1,429","0,857142857142857",4,,SC,-
2023,513,UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,Universidade,Privada sem fins lucrativos,1486953,5,MEDICINA VETERINÁRIA,Educação Presencial,3127701,Governador Valadares,MG,22,21,"48,1047619","2,394954526","48,84761905","2,537895067","2,502",10,"0,476190476","0,646391033","2,551","4,75975579444479","1,804","4,68422865013774","2,222","3,76287878787879","1,561","0,90625","3,594","0,34375","1,354","0,6875","2,754","2,358",3,-
2023,3184,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,1486984,17,AGRONOMIA,Educação Presencial,1400209,Caracaraí,RR,18,18,"42,16111111","1,855246111","46,93333333","2,006268349","1,969",14,"0,777777778","0,362116284","2,59","5,38814616755793","3,132","5,10422322775264","2,973","4,75490196078432","2,835","0,878787878787879","2,818","0,454545454545455","2,078",1,5,"2,653",3,-
2023,718,UNIVERSIDADE POTIGUAR,UNP,Universidade,Privada com fins lucrativos,1486988,36,FISIOTERAPIA,Educação Presencial,2408102,Natal,RN,16,16,"39,475","1,286998876","53,15","2,144612528","1,93",16,1,"-2,365408395","1,848","5,6664908008658","3,965","5,41484557109557","3,686","5,23958333333333","3,941",1,5,"0,625","3,125","0,75","3,25","2,701",3,-
2023,217,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,UNIFAE,Centro Universitário,Especial,1487194,6,ODONTOLOGIA,Educação Presencial,3549102,São João da Boa Vista,SP,47,47,"46,00425532","2,204045414","52,46808511","2,676006687","2,558",35,"0,744680851","1,922259997","2,992","5,99903288201161","4,996","5,99509001636661","4,989","5,97163120567376","4,955",1,5,"0,769230769230769","3,846",1,5,"3,634",4,-
2023,664,UNIVERSIDADE VILA VELHA,UVV,Universidade,Privada com fins lucrativos,1487212,55,BIOMEDICINA,Educação a Distância,3205200,Vila Velha,ES,44,38,"55,45263158","3,222149286","39,57631579","2,01753757","2,319",12,"0,315789474","0,52064319","2,4","5,22074314574315","3,078","5,33828671328671","3,498","4,53134920634921","3,056",1,5,"0,75","3,75",1,5,"3,098",4,-
2023,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,1487244,28,NUTRIÇÃO,Educação Presencial,4113700,Londrina,PR,31,31,"60,28709677","4,307770238","64,71935484","4,724348743","4,62",28,"0,903225806","4,490411224","4,541","5,54848484848485","3,751","5,24636752136752","3,135","5,18777777777778","3,799",1,5,"0,819277108433735","4,096",1,5,"4,411",5,-
2023,1141,CENTRO UNIVERSITÁRIO GAMA E SOUZA,,Centro Universitário,Privada sem fins lucrativos,1487284,19,FARMÁCIA,Educação Presencial,3304557,Rio de Janeiro,RJ,1,0,,,,,,0,,,,,,,,,,1,5,"0,363636363636364","1,818",1,5,,SC,-
2023,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Centro Universitário,Privada com fins lucrativos,1487324,91,TECNOLOGIA EM GESTÃO HOSPITALAR,Educação a Distância,3549805,São José do Rio Preto,SP,4,2,"43,7","2,106699752","33,9","0,253623188","0,717",1,"0,5",,,6,5,6,5,6,5,"0,416666666666667",0,"0,0833333333333333","0,417",1,5,"1,582",2,-
2023,1107,Centro Universitário Estácio do Ceará,Estácio Ceará,Centro Universitário,Privada com fins lucrativos,1487374,19,FARMÁCIA,Educação Presencial,2304400,Fortaleza,CE,5,3,"38,36666667","1,171434377","35,5","1,141777972","1,149",2,"0,666666667","-1,532258674","1,954","5,6025974025974","3,628","5,57307692307692","3,961","5,03333333333333","3,46",1,5,"0,882352941176471","4,412","0,764705882352941","3,431","2,764",3,-
2023,1660,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,ESTÁCIO BRASÍLIA,Centro Universitário,Privada com fins lucrativos,1487439,69,TECNOLOGIA EM RADIOLOGIA,Educação Presencial,5300108,Brasília,DF,28,10,"44,63","2,249546279","47,05","2,520916335","2,453",4,"0,4","-1,337855672","1,878","5,30629587803501","3,28","5,17353298875038","3,194","4,46811594202899","3,054","0,909090909090909","4,091","0,409090909090909","2,045","0,727272727272727","3,182","2,482",3,-
2023,1420,FACULDADES DE DRACENA,,Faculdade,Privada sem fins lucrativos,1487491,12,MEDICINA,Educação Presencial,3514403,Dracena,SP,60,60,"52,02","0,089438565","49,52833333",0,"0,022",43,"0,716666667","-7,020980907",0,"5,81969696969697","4,514","5,76666666666667","4,499","5,37777777777778","3,965","0,732394366197183","3,115","0,28169014084507","1,226","0,802816901408451","2,457","1,269",2,-
2023,1487,CENTRO UNIVERSITÁRIO UNIDOM - BOSCO,UNIDOM - BOSCO,Centro Universitário,Privada com fins lucrativos,1487586,92,TECNOLOGIA EM GESTÃO AMBIENTAL,Educação a Distância,4106902,Curitiba,PR,23,14,"42,69285714","1,781703698","36,4","1,265079293","1,394",1,"0,071428571",,,"5,15671007956612","3,043","4,91663424295003","2,393","4,64411764705882","3,079","0,888888888888889","3,788","0,333333333333333","1,667",1,5,"2,101",3,-
2023,674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,Faculdade,Especial,1487660,17,AGRONOMIA,Educação Presencial,2601607,Belém do São Francisco,PE,11,9,"34,8","0,730417202","42,05555556","1,367663784","1,208",4,"0,444444444","1,498347882","2,932","5,25909090909091","2,738","4,93076923076923","2,58","4,96666666666667","3,203",1,5,"0,818181818181818","4,026",1,5,"3,036",4,-
2023,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,1487694,5814,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Educação a Distância,3550308,São Paulo,SP,35,21,"47,3047619","2,135732641","29,16666667","1,185882519","1,423",5,"0,238095238","-1,200149702","1,522","4,80749011725902","2,238","4,65473227169656","2,309","3,61481481481481","1,306",1,5,"0,375","1,875",1,5,"2,165",3,-
2023,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,1487696,6208,ENGENHARIA DE PRODUÇÃO,Educação a Distância,3550308,São Paulo,SP,72,45,"52,26","2,662845232","34,33555556","2,490052758","2,533",24,"0,533333333","-0,574787156","2,063","4,6729290857999","1,832","4,57480035116399","1,978","3,94519230769231","2,198",1,5,"0,583333333333333","2,917","0,833333333333333","3,929","2,627",3,-
2023,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,1487699,5806,ENGENHARIA ELÉTRICA,Educação a Distância,3550308,São Paulo,SP,106,58,"49,47241379","2,447463137","29,02413793","1,430020284","1,684",15,"0,25862069","-0,407618609","2,38","5,11688167763843","3,213","4,97510554470782","2,976","4,3764705882353","2,727",1,5,"0,5","2,5",1,5,"2,753",3,-
2023,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,1487702,6410,TECNOLOGIA EM SEGURANÇA NO TRABALHO,Educação a Distância,3304557,Rio de Janeiro,RJ,93,24,"39,1375","0,586197339","60,51666667","3,283586921","2,609",3,"0,125",,,"5,09300332439183","0,813","4,91154258654259","0,668","4,37450980392157","1,051","0,888888888888889","2,847","0,222222222222222","0,662","0,944444444444444","4,306","2,191",3,-
2023,466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,Privada com fins lucrativos,1487722,5902,ENGENHARIA MECÂNICA,Educação a Distância,3550308,São Paulo,SP,114,78,"50,57179487","2,663383494","30,70128205","1,508838879","1,797",28,"0,358974359","0,51422327","2,513","4,81441599336336","2,3","4,64816286811479","2,184","4,10816666666667","2,375",1,5,"0,5","2,5",1,5,"2,705",3,-
2023,2147,Centro Universitário CEUNI - FAMETRO,FAMETRO,Centro Universitário,Privada com fins lucrativos,1487771,5806,ENGENHARIA ELÉTRICA,Educação a Distância,1302603,Manaus,AM,29,28,"40,45714286","1,233285233",21,"0,25","0,496",9,"0,321428571","-1,306620003","1,939","4,78034034930587","2,532","4,4391126115264","1,918","3,86896551724138","2,017",1,5,"0,714285714285714","3,571",1,5,"2,4",3,-
2023,2147,Centro Universitário CEUNI - FAMETRO,FAMETRO,Centro Universitário,Privada com fins lucrativos,1487772,5710,ENGENHARIA CIVIL,Educação a Distância,1302603,Manaus,AM,48,46,"42,96521739","1,6873706","23,69565217","0,826220208","1,042",19,"0,413043478","-5,026048777","0,859","5,05466519296307","2,886","4,76477541371158","2,314","4,35425531914894","2,547",1,5,"0,8",4,1,5,"2,255",3,-
2023,2147,Centro Universitário CEUNI - FAMETRO,FAMETRO,Centro Universitário,Privada com fins lucrativos,1487776,95,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Educação a Distância,1302603,Manaus,AM,13,1,,,,,,0,0,,,,,,,,,1,5,"0,75","3,75",1,5,,SC,-
2023,2147,Centro Universitário CEUNI - FAMETRO,FAMETRO,Centro Universitário,Privada com fins lucrativos,1487777,28,NUTRIÇÃO,Educação a Distância,1302603,Manaus,AM,43,35,"41,68571429","1,711365902","32,30571429","0,266667259","0,628",17,"0,485714286","-5,794827776","0,078","5,38252157878841","3,292","4,59812345277462","1,531","4,15912698412698","2,279",1,5,"0,666666666666667","3,333","0,833333333333333","3,75","1,69",2,-
